id,type,name,status,description,epic,duration,start_time
1,TASK,task1,NEW,task1 desc,,,
8,TASK,task1,NEW,task1 desc,,,
14,TASK,task1,NEW,task1 desc,,,
2,EPIC,epic1,NEW,epic1 desc,,,
18,EPIC,epic2,IN_PROGRESS,epic2 desc,,00:00:30,30.04.2024 - 15:00
5,EPIC,epic2,IN_PROGRESS,epic2 desc,,01:36:12,29.04.2024 - 03:17
9,EPIC,epic1,NEW,epic1 desc,,,
12,EPIC,epic2,IN_PROGRESS,epic2 desc,,00:00:30,30.04.2024 - 15:00
15,EPIC,epic1,NEW,epic1 desc,,,
16,SUBTASK,subtask1,NEW,subtask1 desc,15,,
17,SUBTASK,subtask2,NEW,subtask2 desc,15,,
3,SUBTASK,subtask1,NEW,subtask1 desc,2,,
19,SUBTASK,subtask4,IN_PROGRESS,subtask4 desc,18,00:00:30,30.04.2024 - 15:00
4,SUBTASK,subtask2,NEW,subtask2 desc,2,,
6,SUBTASK,subtask3,IN_PROGRESS,subtask3 desc,5,00:00:40,29.04.2024 - 03:17
7,SUBTASK,subtask4,IN_PROGRESS,subtask4 desc,5,00:00:30,30.04.2024 - 15:00
10,SUBTASK,subtask1,NEW,subtask1 desc,9,,
11,SUBTASK,subtask2,NEW,subtask2 desc,9,,
13,SUBTASK,subtask4,IN_PROGRESS,subtask4 desc,12,00:00:30,30.04.2024 - 15:00

